1712812200.141971000 1712812200.116981615 64 1712812200.052981615 1 20
1712812200.167004000 1712812200.141981615 89 1712812200.052981615 1 20
1712812200.191994000 1712812200.166981615 114 1712812200.052981615 1 20
1712812200.217078000 1712812200.191981615 139 1712812200.052981615 1 20
1712812200.242133000 1712812200.216981615 164 1712812200.052981615 1 20
1712812200.267197000 1712812200.241981615 189 1712812200.052981615 1 20
1712812200.292239000 1712812200.266981615 214 1712812200.052981615 1 20
1712812200.317284000 1712812200.291981615 239 1712812200.052981615 1 20
1712812200.342354000 1712812200.316981615 264 1712812200.052981615 1 20
1712812200.367374000 1712812200.341981615 289 1712812200.052981615 1 20
1712812200.392418000 1712812200.366981615 314 1712812200.052981615 1 20
1712812200.417451000 1712812200.391981615 339 1712812200.052981615 1 20
1712812200.442473000 1712812200.416981615 364 1712812200.052981615 1 20
1712812200.467537000 1712812200.441981615 389 1712812200.052981615 1 20
1712812200.492556000 1712812200.466981615 414 1712812200.052981615 1 20
1712812200.517623000 1712812200.492981615 440 1712812200.052981615 1 20
1712812200.542616000 1712812200.517981615 465 1712812200.052981615 1 20
1712812200.567653000 1712812200.542981615 490 1712812200.052981615 1 20
1712812200.592643000 1712812200.567981615 515 1712812200.052981615 1 20
1712812200.617675000 1712812200.592981615 540 1712812200.052981615 1 20
1712812200.642745000 1712812200.617981615 565 1712812200.052981615 1 20
1712812200.667866000 1712812200.642981615 590 1712812200.052981615 1 20
1712812200.692734000 1712812200.667981615 615 1712812200.052981615 1 20
1712812200.717779000 1712812200.692981615 640 1712812200.052981615 1 20
1712812200.742713000 1712812200.717981615 665 1712812200.052981615 1 20
1712812200.767733000 1712812200.742981615 690 1712812200.052981615 1 20
1712812200.792729000 1712812200.767981615 715 1712812200.052981615 1 20
1712812200.817727000 1712812200.792981615 740 1712812200.052981615 1 20
1712812200.842748000 1712812200.817981615 765 1712812200.052981615 1 20
1712812200.867689000 1712812200.842981615 790 1712812200.052981615 1 20
1712812200.892727000 1712812200.867981615 815 1712812200.052981615 1 20
1712812200.917716000 1712812200.892981615 840 1712812200.052981615 1 20
1712812200.942714000 1712812200.917981615 865 1712812200.052981615 1 20
1712812200.967737000 1712812200.942981615 890 1712812200.052981615 1 20
1712812200.992710000 1712812200.967981615 915 1712812200.052981615 1 20
1712812201.017747000 1712812200.992981615 940 1712812200.052981615 1 20
1712812201.042816000 1712812201.017981615 965 1712812200.052981615 1 20
1712812201.067760000 1712812201.042981615 990 1712812200.052981615 1 20
1712812201.092785000 1712812201.067981615 1015 1712812200.052981615 1 20
1712812201.117759000 1712812201.092981615 1040 1712812200.052981615 1 20
1712812201.142750000 1712812201.117981615 1065 1712812200.052981615 1 20
1712812201.167748000 1712812201.142981615 1090 1712812200.052981615 1 20
1712812201.192750000 1712812201.167981615 1115 1712812200.052981615 1 20
1712812201.217800000 1712812201.192981615 1140 1712812200.052981615 1 20
1712812201.242759000 1712812201.217981615 1165 1712812200.052981615 1 20
1712812201.267910000 1712812201.242981615 1190 1712812200.052981615 1 20
1712812201.292852000 1712812201.267981615 1215 1712812200.052981615 1 20
1712812201.317880000 1712812201.292981615 1240 1712812200.052981615 1 20
1712812201.342921000 1712812201.317981615 1265 1712812200.052981615 1 20
1712812201.367836000 1712812201.342981615 1290 1712812200.052981615 1 20
1712812201.392843000 1712812201.367981615 1315 1712812200.052981615 1 20
1712812201.417868000 1712812201.392981615 1340 1712812200.052981615 1 20
1712812201.442871000 1712812201.417981615 1365 1712812200.052981615 1 20
1712812201.467857000 1712812201.442981615 1390 1712812200.052981615 1 20
1712812201.492835000 1712812201.467981615 1415 1712812200.052981615 1 20
1712812201.517843000 1712812201.492981615 1440 1712812200.052981615 1 20
1712812201.542922000 1712812201.517981615 1465 1712812200.052981615 1 20
1712812201.567829000 1712812201.542981615 1490 1712812200.052981615 1 20
1712812201.592834000 1712812201.567981615 1515 1712812200.052981615 1 20
1712812201.617846000 1712812201.592981615 1540 1712812200.052981615 1 20
1712812201.642846000 1712812201.617981615 1565 1712812200.052981615 1 20
1712812201.667931000 1712812201.642981615 1590 1712812200.052981615 1 20
1712812201.693043000 1712812201.667981615 1615 1712812200.052981615 1 20
1712812201.717877000 1712812201.692981615 1640 1712812200.052981615 1 20
1712812201.742842000 1712812201.717981615 1665 1712812200.052981615 1 20
1712812201.767838000 1712812201.742981615 1690 1712812200.052981615 1 20
1712812201.792843000 1712812201.767981615 1715 1712812200.052981615 1 20
1712812201.817849000 1712812201.792981615 1740 1712812200.052981615 1 20
1712812201.842862000 1712812201.817981615 1765 1712812200.052981615 1 20
1712812201.867872000 1712812201.842981615 1790 1712812200.052981615 1 20
1712812201.892865000 1712812201.867981615 1815 1712812200.052981615 1 20
1712812201.917813000 1712812201.892981615 1840 1712812200.052981615 1 20
1712812201.942816000 1712812201.917981615 1865 1712812200.052981615 1 20
1712812201.967809000 1712812201.942981615 1890 1712812200.052981615 1 20
1712812201.992824000 1712812201.967981615 1915 1712812200.052981615 1 20
1712812202.017821000 1712812201.992981615 1940 1712812200.052981615 1 20
1712812202.042842000 1712812202.017981615 1965 1712812200.052981615 1 20
1712812202.067844000 1712812202.042981615 1990 1712812200.052981615 1 20
1712812202.092861000 1712812202.067981615 2015 1712812200.052981615 1 20
1712812202.117855000 1712812202.092981615 2040 1712812200.052981615 1 20
1712812202.142821000 1712812202.117981615 2065 1712812200.052981615 1 20
1712812202.167825000 1712812202.142981615 2090 1712812200.052981615 1 20
1712812202.192837000 1712812202.167981615 2115 1712812200.052981615 1 20
