# stamp t_recv t_estimated err ground_truth t_send
2635 1712823004.047524000 1712823004.027069817 8.67362e-19 1712823004.027538 1712823004.046503
2660 1712823004.072694000 1712823004.052069817 8.67362e-19 1712823004.052539 1712823004.071511
2685 1712823004.097692000 1712823004.077069817 8.67362e-19 1712823004.077540 1712823004.096497
2710 1712823004.122666000 1712823004.102069817 8.67362e-19 1712823004.102541 1712823004.121500
2735 1712823004.147695000 1712823004.127069817 8.67362e-19 1712823004.127542 1712823004.146561
2760 1712823004.172588000 1712823004.152069817 8.67362e-19 1712823004.152543 1712823004.171521
2785 1712823004.197628000 1712823004.177069817 8.67362e-19 1712823004.177544 1712823004.196490
2810 1712823004.222700000 1712823004.202069817 8.67362e-19 1712823004.202545 1712823004.221546
2835 1712823004.247696000 1712823004.227069817 8.67362e-19 1712823004.227546 1712823004.246495
2860 1712823004.272647000 1712823004.252069817 8.67362e-19 1712823004.252547 1712823004.271506
2885 1712823004.297651000 1712823004.277069817 8.67362e-19 1712823004.277548 1712823004.296492
2910 1712823004.322665000 1712823004.302069817 8.67362e-19 1712823004.302549 1712823004.321516
2935 1712823004.347687000 1712823004.327069817 8.67362e-19 1712823004.327550 1712823004.346493
2960 1712823004.372653000 1712823004.352069817 8.67362e-19 1712823004.352551 1712823004.371523
2985 1712823004.397680000 1712823004.377069817 8.67362e-19 1712823004.377552 1712823004.396532
3010 1712823004.422723000 1712823004.402069817 8.67362e-19 1712823004.402553 1712823004.421519
3035 1712823004.447655000 1712823004.427069817 8.67362e-19 1712823004.427554 1712823004.446496
3060 1712823004.472666000 1712823004.452069817 8.67362e-19 1712823004.452555 1712823004.471534
3085 1712823004.497693000 1712823004.477069817 8.67362e-19 1712823004.477556 1712823004.496502
3110 1712823004.522655000 1712823004.502069817 8.67362e-19 1712823004.502557 1712823004.521521
3135 1712823004.547665000 1712823004.527069817 8.67362e-19 1712823004.527558 1712823004.546553
3160 1712823004.572563000 1712823004.552069817 8.67362e-19 1712823004.552559 1712823004.571525
3185 1712823004.597701000 1712823004.577069817 8.67362e-19 1712823004.577560 1712823004.596535
3210 1712823004.622623000 1712823004.602069817 8.67362e-19 1712823004.602561 1712823004.621536
3235 1712823004.647679000 1712823004.627069817 8.67362e-19 1712823004.627562 1712823004.646539
3260 1712823004.672633000 1712823004.652069817 8.67362e-19 1712823004.652563 1712823004.671560
3285 1712823004.697741000 1712823004.677069817 8.67362e-19 1712823004.677564 1712823004.696502
3310 1712823004.722765000 1712823004.702069817 8.67362e-19 1712823004.702565 1712823004.721541
3335 1712823004.747801000 1712823004.727069817 8.67362e-19 1712823004.727566 1712823004.746523
3360 1712823004.772681000 1712823004.752069817 8.67362e-19 1712823004.752567 1712823004.771519
3385 1712823004.797718000 1712823004.777069817 8.67362e-19 1712823004.777568 1712823004.796541
3410 1712823004.822691000 1712823004.802069817 8.67362e-19 1712823004.802569 1712823004.821537
3435 1712823004.847722000 1712823004.827069817 8.67362e-19 1712823004.827570 1712823004.846512
3460 1712823004.872661000 1712823004.852069817 8.67362e-19 1712823004.852571 1712823004.871517
3485 1712823004.897582000 1712823004.877069817 8.67362e-19 1712823004.877572 1712823004.896516
3510 1712823004.922763000 1712823004.902069817 8.67362e-19 1712823004.902573 1712823004.921535
3535 1712823004.947674000 1712823004.927069817 8.67362e-19 1712823004.927574 1712823004.946550
3560 1712823004.972686000 1712823004.952069817 8.67362e-19 1712823004.952575 1712823004.971557
3585 1712823004.997698000 1712823004.977069817 8.67362e-19 1712823004.977576 1712823004.996539
3610 1712823005.022717000 1712823005.002069817 8.67362e-19 1712823005.002577 1712823005.021540
3635 1712823005.047791000 1712823005.027069817 8.67362e-19 1712823005.027578 1712823005.046533
3660 1712823005.072630000 1712823005.052069817 8.67362e-19 1712823005.052579 1712823005.071560
3685 1712823005.097677000 1712823005.077069817 8.67362e-19 1712823005.077580 1712823005.096514
3710 1712823005.122696000 1712823005.102069817 8.67362e-19 1712823005.102581 1712823005.121534
3735 1712823005.147768000 1712823005.127069817 8.67362e-19 1712823005.127582 1712823005.146589
3760 1712823005.172696000 1712823005.152069817 8.67362e-19 1712823005.152583 1712823005.171543
3785 1712823005.197665000 1712823005.177069817 8.67362e-19 1712823005.177584 1712823005.196520
3810 1712823005.222643000 1712823005.202069817 8.67362e-19 1712823005.202585 1712823005.221544
3835 1712823005.247705000 1712823005.227069817 8.67362e-19 1712823005.227586 1712823005.246529
3860 1712823005.272776000 1712823005.252069817 8.67362e-19 1712823005.252587 1712823005.271587
3885 1712823005.297697000 1712823005.277069817 8.67362e-19 1712823005.277588 1712823005.296520
3910 1712823005.322712000 1712823005.302069817 8.67362e-19 1712823005.302589 1712823005.321554
3935 1712823005.347879000 1712823005.327069817 8.67362e-19 1712823005.327590 1712823005.346534
3960 1712823005.372745000 1712823005.352069817 8.67362e-19 1712823005.352591 1712823005.371567
3985 1712823005.397709000 1712823005.377069817 8.67362e-19 1712823005.377592 1712823005.396530
4010 1712823005.422614000 1712823005.402069817 8.67362e-19 1712823005.402593 1712823005.421544
4035 1712823005.447818000 1712823005.427069817 8.67362e-19 1712823005.427594 1712823005.446538
4060 1712823005.472678000 1712823005.452069817 8.67362e-19 1712823005.452595 1712823005.471553
4085 1712823005.497661000 1712823005.477069817 8.67362e-19 1712823005.477596 1712823005.496558
4110 1712823005.522626000 1712823005.502069817 8.67362e-19 1712823005.502597 1712823005.521578
4135 1712823005.547837000 1712823005.527069817 8.67362e-19 1712823005.527598 1712823005.546548
4160 1712823005.572696000 1712823005.552069817 8.67362e-19 1712823005.552599 1712823005.571573
4185 1712823005.597707000 1712823005.577069817 8.67362e-19 1712823005.577600 1712823005.596533
4210 1712823005.622722000 1712823005.602069817 8.67362e-19 1712823005.602601 1712823005.621552
4235 1712823005.647831000 1712823005.627069817 8.67362e-19 1712823005.627602 1712823005.646574
4260 1712823005.672696000 1712823005.652069817 8.67362e-19 1712823005.652603 1712823005.671591
4285 1712823005.697637000 1712823005.677069817 8.67362e-19 1712823005.677604 1712823005.696564
4310 1712823005.722834000 1712823005.702069817 8.67362e-19 1712823005.702605 1712823005.721615
4335 1712823005.747654000 1712823005.727069817 8.67362e-19 1712823005.727606 1712823005.746576
