1712886003.607035000 1712886003.586456163 2133 0.020578837
1712886003.631984000 1712886003.611456163 2158 0.020527837
1712886003.657054000 1712886003.636456163 2183 0.020597837
1712886003.681987000 1712886003.661456163 2208 0.020530837
1712886003.707116000 1712886003.686456163 2233 0.020659837
1712886003.731978000 1712886003.711456163 2258 0.020521837
1712886003.757058000 1712886003.736456163 2283 0.020601837
1712886003.781961000 1712886003.761456163 2308 0.020504837
1712886003.806981000 1712886003.786456163 2333 0.020524837
1712886003.832002000 1712886003.811456163 2358 0.020545837
1712886003.857009000 1712886003.836456163 2383 0.020552837
1712886003.881994000 1712886003.861456163 2408 0.020537837
1712886003.907007000 1712886003.886456163 2433 0.020550837
1712886003.931910000 1712886003.911456163 2458 0.020453837
1712886003.956956000 1712886003.936456163 2483 0.020499837
1712886003.981976000 1712886003.961456163 2508 0.020519837
1712886004.007029000 1712886003.986456163 2533 0.020572837
1712886004.031946000 1712886004.011456163 2558 0.020489837
1712886004.057052000 1712886004.036456163 2583 0.020595837
1712886004.082044000 1712886004.061456163 2608 0.020587837
1712886004.107028000 1712886004.086456163 2633 0.020571837
1712886004.131975000 1712886004.111456163 2658 0.020518837
1712886004.156981000 1712886004.136456163 2683 0.020524837
1712886004.181941000 1712886004.161456163 2708 0.020484837
1712886004.207051000 1712886004.186456163 2733 0.020594837
1712886004.231976000 1712886004.211456163 2758 0.020519837
1712886004.257067000 1712886004.236456163 2783 0.020610837
1712886004.281996000 1712886004.261456163 2808 0.020539837
1712886004.307031000 1712886004.286456163 2833 0.020574837
1712886004.331998000 1712886004.311456163 2858 0.020541837
1712886004.356998000 1712886004.336456163 2883 0.020541837
1712886004.381967000 1712886004.361456163 2908 0.020510837
1712886004.407011000 1712886004.386456163 2933 0.020554837
1712886004.431981000 1712886004.411456163 2958 0.020524837
1712886004.456988000 1712886004.436456163 2983 0.020531837
1712886004.481980000 1712886004.461456163 3008 0.020523837
1712886004.507065000 1712886004.486456163 3033 0.020608837
1712886004.531997000 1712886004.511456163 3058 0.020540837
1712886004.557028000 1712886004.536456163 3083 0.020571837
1712886004.582084000 1712886004.561456163 3108 0.020627837
1712886004.607060000 1712886004.586456163 3133 0.020603837
1712886004.632034000 1712886004.611456163 3158 0.020577837
1712886004.657071000 1712886004.636456163 3183 0.020614837
1712886004.682020000 1712886004.661456163 3208 0.020563837
1712886004.707070000 1712886004.686456163 3233 0.020613837
1712886004.732015000 1712886004.711456163 3258 0.020558837
1712886004.756987000 1712886004.736456163 3283 0.020530837
1712886004.782000000 1712886004.761456163 3308 0.020543837
1712886004.807031000 1712886004.786456163 3333 0.020574837
1712886004.832016000 1712886004.811456163 3358 0.020559837
1712886004.856989000 1712886004.836456163 3383 0.020532837
1712886004.882026000 1712886004.861456163 3408 0.020569837
1712886004.907039000 1712886004.886456163 3433 0.020582837
1712886004.931974000 1712886004.911456163 3458 0.020517837
1712886004.956972000 1712886004.936456163 3483 0.020515837
1712886004.982016000 1712886004.961456163 3508 0.020559837
1712886005.007064000 1712886004.986456163 3533 0.020607837
1712886005.031965000 1712886005.011456163 3558 0.020508837
1712886005.057016000 1712886005.036456163 3583 0.020559837
1712886005.081999000 1712886005.061456163 3608 0.020542837
1712886005.107154000 1712886005.086456163 3633 0.020697837
1712886005.132016000 1712886005.111456163 3658 0.020559837
1712886005.156989000 1712886005.136456163 3683 0.020532837
1712886005.181974000 1712886005.161456163 3708 0.020517837
1712886005.207183000 1712886005.186456163 3733 0.020726837
1712886005.231999000 1712886005.211456163 3758 0.020542837
1712886005.256987000 1712886005.236456163 3783 0.020530837
1712886005.282041000 1712886005.261456163 3808 0.020584837
1712886005.307063000 1712886005.286456163 3833 0.020606837
1712886005.332027000 1712886005.311456163 3858 0.020570837
1712886005.357018000 1712886005.336456163 3883 0.020561837
1712886005.382015000 1712886005.361456163 3908 0.020558837
1712886005.407092000 1712886005.386456163 3933 0.020635837
1712886005.431996000 1712886005.411456163 3958 0.020539837
1712886005.457004000 1712886005.436456163 3983 0.020547837
1712886005.482062000 1712886005.461456163 4008 0.020605837
1712886005.507088000 1712886005.486456163 4033 0.020631837
1712886005.532033000 1712886005.511456163 4058 0.020576837
1712886005.557039000 1712886005.536456163 4083 0.020582837
1712886005.582029000 1712886005.561456163 4108 0.020572837
1712886005.607099000 1712886005.586456163 4133 0.020642837
1712886005.632031000 1712886005.611456163 4158 0.020574837
1712886005.657010000 1712886005.636456163 4183 0.020553837
1712886005.682024000 1712886005.661456163 4208 0.020567837
1712886005.707128000 1712886005.686456163 4233 0.020671837
1712886005.732004000 1712886005.711456163 4258 0.020547837
1712886005.757056000 1712886005.736456163 4283 0.020599837
1712886005.782049000 1712886005.761456163 4308 0.020592837
1712886005.807039000 1712886005.786456163 4333 0.020582837
1712886005.832093000 1712886005.811456163 4358 0.020636837
1712886005.857033000 1712886005.836456163 4383 0.020576837
1712886005.882040000 1712886005.861456163 4408 0.020583837
1712886005.907067000 1712886005.886456163 4433 0.020610837
1712886005.932035000 1712886005.911456163 4458 0.020578837
1712886005.956997000 1712886005.936456163 4483 0.020540837
1712886005.982027000 1712886005.961456163 4508 0.020570837
1712886006.007130000 1712886005.986456163 4533 0.020673837
1712886006.032047000 1712886006.011456163 4558 0.020590837
1712886006.057050000 1712886006.036456163 4583 0.020593837
1712886006.082059000 1712886006.061456163 4608 0.020602837
1712886006.107021000 1712886006.086456163 4633 0.020564837
1712886006.132148000 1712886006.111456163 4658 0.020691837
1712886006.157009000 1712886006.136456163 4683 0.020552837
