1712891358.502321000 1712891358.481780946 10158 0.020540054 1712891358.481780946
1712891358.527237000 1712891358.506783491 10183 0.020453509 1712891358.506783491
1712891358.552288000 1712891358.531786035 10208 0.020501965 1712891358.531834491
1712891358.577288000 1712891358.556788580 10233 0.020499420 1712891358.556834491
1712891358.602378000 1712891358.581791125 10258 0.020586875 1712891358.581924491
1712891358.627247000 1712891358.606793670 10283 0.020453330 1712891358.606793670
1712891358.652292000 1712891358.631796214 10308 0.020495786 1712891358.631838670
1712891358.677270000 1712891358.656798759 10333 0.020471241 1712891358.656816670
1712891358.702293000 1712891358.681801304 10358 0.020491696 1712891358.681839670
1712891358.727314000 1712891358.706803849 10383 0.020510151 1712891358.706860670
1712891358.752281000 1712891358.731806393 10408 0.020474607 1712891358.731827670
1712891358.777298000 1712891358.756808938 10433 0.020489062 1712891358.756844670
1712891358.802293000 1712891358.781811483 10458 0.020481517 1712891358.781839670
1712891358.827311000 1712891358.806814028 10483 0.020496972 1712891358.806857670
1712891358.852267000 1712891358.831816572 10508 0.020450428 1712891358.831816572
1712891358.877269000 1712891358.856819117 10533 0.020449883 1712891358.856819117
1712891358.902327000 1712891358.881821662 10558 0.020505338 1712891358.881877117
1712891358.927348000 1712891358.906824207 10583 0.020523793 1712891358.906898117
1712891358.952281000 1712891358.931826751 10608 0.020454249 1712891358.931831117
1712891358.977427000 1712891358.956829296 10633 0.020597704 1712891358.956977117
1712891359.002358000 1712891358.981831841 10658 0.020526159 1712891358.981908117
1712891359.027288000 1712891359.006834386 10683 0.020453614 1712891359.006838117
1712891359.052250000 1712891359.031836930 10708 0.020413070 1712891359.031836930
1712891359.077301000 1712891359.056839475 10733 0.020461525 1712891359.056887930
1712891359.102330000 1712891359.081842020 10758 0.020487980 1712891359.081916930
1712891359.127339000 1712891359.106844565 10783 0.020494435 1712891359.106925930
1712891359.152297000 1712891359.131847109 10808 0.020449891 1712891359.131883930
1712891359.177378000 1712891359.156849654 10833 0.020528346 1712891359.156964930
1712891359.202323000 1712891359.181852199 10858 0.020470801 1712891359.181909930
1712891359.227325000 1712891359.206854744 10883 0.020470256 1712891359.206911930
1712891359.252270000 1712891359.231857288 10908 0.020412712 1712891359.231857288
1712891359.277307000 1712891359.256859833 10933 0.020447167 1712891359.256894288
1712891359.302370000 1712891359.281862378 10958 0.020507622 1712891359.281957288
1712891359.327346000 1712891359.306864923 10983 0.020481077 1712891359.306933288
1712891359.352323000 1712891359.331867467 11008 0.020455533 1712891359.331910288
1712891359.377315000 1712891359.356870012 11033 0.020444988 1712891359.356902288
1712891359.402332000 1712891359.381872557 11058 0.020459443 1712891359.381919288
1712891359.427344000 1712891359.406875102 11083 0.020468898 1712891359.406931288
1712891359.452313000 1712891359.431877646 11108 0.020435354 1712891359.431900288
1712891359.477360000 1712891359.456880191 11133 0.020479809 1712891359.456947288
1712891359.502427000 1712891359.481882736 11158 0.020544264 1712891359.482014288
1712891359.527327000 1712891359.506885281 11183 0.020441719 1712891359.506914288
1712891359.552331000 1712891359.531887825 11208 0.020443175 1712891359.531918288
1712891359.577273000 1712891359.556890370 11233 0.020382630 1712891359.556890370
1712891359.602342000 1712891359.581892915 11258 0.020449085 1712891359.581959370
1712891359.627271000 1712891359.606895460 11283 0.020375540 1712891359.606895460
1712891359.652310000 1712891359.631898004 11308 0.020411996 1712891359.631934460
1712891359.677324000 1712891359.656900549 11333 0.020423451 1712891359.656948460
1712891359.702329000 1712891359.681903094 11358 0.020425906 1712891359.681953460
1712891359.727315000 1712891359.706905639 11383 0.020409361 1712891359.706939460
1712891359.752315000 1712891359.731908183 11408 0.020406817 1712891359.731939460
1712891359.777318000 1712891359.756910728 11433 0.020407272 1712891359.756942460
1712891359.802418000 1712891359.781913273 11458 0.020504727 1712891359.782042460
1712891359.827305000 1712891359.806915818 11483 0.020389182 1712891359.806929460
1712891359.852394000 1712891359.831918362 11508 0.020475638 1712891359.832018460
1712891359.877330000 1712891359.856920907 11533 0.020409093 1712891359.856954460
1712891359.902352000 1712891359.881923452 11558 0.020428548 1712891359.881976460
1712891359.927287000 1712891359.906925997 11583 0.020361003 1712891359.906925997
1712891359.952318000 1712891359.931928541 11608 0.020389459 1712891359.931956997
1712891359.977332000 1712891359.956931086 11633 0.020400914 1712891359.956970997
1712891360.002380000 1712891359.981933631 11658 0.020446369 1712891359.982018997
1712891360.027316000 1712891360.006936176 11683 0.020379824 1712891360.006954997
1712891360.052341000 1712891360.031938720 11708 0.020402280 1712891360.031979997
1712891360.077300000 1712891360.056941265 11733 0.020358735 1712891360.056941265
1712891360.102323000 1712891360.081943810 11758 0.020379190 1712891360.081964265
1712891360.127277000 1712891360.106946355 11783 0.020330645 1712891360.106946355
1712891360.152320000 1712891360.131948899 11808 0.020371101 1712891360.131989355
1712891360.177344000 1712891360.156951444 11833 0.020392556 1712891360.157013355
1712891360.202337000 1712891360.181953989 11858 0.020383011 1712891360.182006355
1712891360.227325000 1712891360.206956534 11883 0.020368466 1712891360.206994355
1712891360.252356000 1712891360.231959078 11908 0.020396922 1712891360.232025355
1712891360.277323000 1712891360.256961623 11933 0.020361377 1712891360.256992355
1712891360.302307000 1712891360.281964168 11958 0.020342832 1712891360.281976355
1712891360.327313000 1712891360.306966713 11983 0.020346287 1712891360.306982355
1712891360.352365000 1712891360.331969257 12008 0.020395743 1712891360.332034355
1712891360.377329000 1712891360.356971802 12033 0.020357198 1712891360.356998355
1712891360.402377000 1712891360.381974347 12058 0.020402653 1712891360.382046355
